year,month,state,latitude,longitude,firespots
2001,4,Mato Grosso,-12.429149787234042,-55.08334510638298,235
2001,4,Roraima,2.7552106842105264,-60.98939315789473,380
2001,5,Maranhao,-3.24833,-46.1483,1
2001,5,Mato Grosso,-12.232148331466963,-55.24390123180291,893
2001,5,Para,-6.531904285714286,-50.6331,7
2001,5,Rondonia,-11.120328,-61.54234,5
2001,5,Roraima,3.6288888888888886,-61.312033333333325,9
2001,5,Tocantins,-7.61667,-48.4733,1
2001,6,Acre,-7.57833,-72.95,1
2001,6,Amazonas,-8.349666,-63.99034,5
2001,6,Maranhao,-4.4849966666666665,-47.235566666666664,3
2001,6,Mato Grosso,-11.90229511240029,-55.75827099347353,4137
2001,6,Para,-7.173292619047619,-50.26122857142857,42
2001,6,Rondonia,-10.943439032258064,-62.45957419354839,31
2001,6,Roraima,2.42667,-60.04,1
2001,6,Tocantins,-7.712858571428571,-48.658342857142856,7
2001,7,Acre,-10.152766666666665,-67.6761,3
2001,7,Amapa,2.43167,-51.27,1
2001,7,Amazonas,-7.122036666666666,-61.61462222222222,9
2001,7,Maranhao,-4.573788181818181,-47.02147272727273,77
2001,7,Mato Grosso,-11.624737254901962,-55.89167407407408,918
2001,7,Para,-6.666403385049365,-52.04361212976023,709
2001,7,Rondonia,-11.206084189189188,-62.32826351351351,74
2001,7,Roraima,3.3,-60.8633,1
2001,7,Tocantins,-7.5825,-48.51882916666666,24
2001,8,Acre,-9.841483308270675,-68.20941002506265,399
2001,8,Amapa,1.0625,-50.988183333333325,12
2001,8,Amazonas,-7.077374729458918,-62.59485611222445,499
2001,8,Maranhao,-4.431957138964577,-46.72742179836512,367
2001,8,Mato Grosso,-11.099443053832301,-56.647842485491296,4997
2001,8,Para,-6.882128589913736,-51.23895517584605,9042
2001,8,Rondonia,-10.68889855065666,-63.034404423076914,2132
2001,8,Roraima,3.35,-59.918325,4
2001,8,Tocantins,-6.82900154185022,-48.5416,227
2001,9,Acre,-9.9234371875,-67.81200833333332,288
2001,9,Amapa,1.2778243157894735,-50.86905789473684,95
2001,9,Amazonas,-7.136031607142857,-64.05108154761905,168
2001,9,Maranhao,-4.234080798319328,-46.33464642857143,952
2001,9,Mato Grosso,-11.604138543824702,-55.97380885856573,5020
2001,9,Para,-5.863211140808344,-50.06984612125162,6136
2001,9,Rondonia,-11.35038416277864,-62.808902021772944,1929
2001,9,Roraima,4.125,-60.6633,1
2001,9,Tocantins,-7.077039211927583,-48.55461405750799,939
2001,10,Acre,-9.997675693430658,-68.04726496350364,137
2001,10,Amapa,1.3626332124352332,-51.00619119170984,193
2001,10,Amazonas,-4.043815240963856,-59.94740421686747,332
2001,10,Maranhao,-4.1336273355869695,-46.14045159803319,3254
2001,10,Mato Grosso,-12.684705355813952,-56.51102751162791,4300
2001,10,Para,-3.727703526068209,-50.319132242257936,5102
2001,10,Rondonia,-10.908217135678392,-62.978180778894476,796
2001,10,Roraima,1.676666923076923,-60.201284615384616,13
2001,10,Tocantins,-6.417990242424241,-48.486010303030305,165
2001,11,Acre,-7.78,-72.36,1
2001,11,Amapa,1.1271961083743842,-51.03758596059113,406
2001,11,Amazonas,-2.4496519672131147,-60.919929508196724,244
2001,11,Maranhao,-3.5938649744463373,-45.99504271720613,2348
2001,11,Mato Grosso,-14.306403557692308,-57.78085673076923,208
2001,11,Para,-3.074655235008104,-50.63098251620745,4936
2001,11,Rondonia,-10.977605217391304,-63.247246413043484,92
2001,11,Roraima,2.223048421052632,-60.39996052631579,76
2001,11,Tocantins,-6.445190571428571,-48.50680285714285,35
2001,12,Amapa,1.1710737099494097,-50.701568465430014,593
2001,12,Amazonas,-3.0852277272727275,-58.0493909090909,22
2001,12,Maranhao,-2.845481314699793,-45.91014151138716,966
2001,12,Mato Grosso,-12.895378636363635,-56.43415909090909,22
2001,12,Para,-2.292916430241621,-50.129718628215116,2566
2001,12,Rondonia,-9.69833,-62.8183,1
2001,12,Roraima,1.7010965789473684,-60.08412368421053,76
2001,12,Tocantins,-5.8505,-48.34884,10
2002,1,Amapa,0.8621414285714285,-50.75738571428571,7
2002,1,Amazonas,-4.07264705882353,-62.48705882352941,17
2002,1,Maranhao,-3.4286359090909087,-46.54787727272727,22
2002,1,Mato Grosso,-14.061573333333332,-57.49135222222222,90
2002,1,Para,-2.8619563194444444,-51.52365555555556,144
2002,1,Rondonia,-11.517771666666665,-61.64138333333332,6
2002,1,Roraima,2.665430430463576,-60.41371390728476,302
2002,1,Tocantins,-6.444165,-48.55335,2
2002,2,Acre,-8.6,-69.7767,1
2002,2,Amapa,-0.185,-51.5242,2
2002,2,Amazonas,-0.379165,-62.93835,2
2002,2,Maranhao,-4.194325952380952,-46.854688095238096,42
2002,2,Mato Grosso,-12.425784666666665,-54.118893333333325,15
2002,2,Para,-4.099596833333333,-49.15441333333332,120
2002,2,Rondonia,-9.6316625,-63.81355,8
2002,2,Roraima,2.0304622268907564,-60.49896911764705,476
2002,2,Tocantins,-6.89167,-48.9967,1
2002,3,Amazonas,-2.018,-60.12466,5
2002,3,Maranhao,-3.684165,-45.68415,2
2002,3,Mato Grosso,-12.90433896551724,-55.463068965517245,58
2002,3,Para,-5.425715,-50.4925,14
2002,3,Rondonia,-10.1667,-64.955,1
2002,3,Roraima,2.517665934065934,-60.88667423687424,819
2002,3,Tocantins,-6.783335,-48.4625,2
2002,4,Amazonas,-3.05833,-63.65833,2
2002,4,Maranhao,-3.4404757142857143,-45.28738142857143,7
2002,4,Mato Grosso,-12.501808240469208,-55.382121348973605,341
2002,4,Para,-8.166819090909092,-49.72363636363636,11
2002,4,Rondonia,-10.33389,-62.278886666666665,3
2002,4,Roraima,3.0439026829268294,-61.02821170731707,41
2002,5,Amapa,2.776666666666667,-51.738886666666666,3
2002,5,Amazonas,-5.85104,-64.30541625,8
2002,5,Maranhao,-4.04145875,-46.39771,8
2002,5,Mato Grosso,-12.229797557571528,-55.2848835589672,1433
2002,5,Para,-6.333981666666666,-50.611110555555555,18
2002,5,Rondonia,-12.507668,-60.058112,15
2002,5,Tocantins,-7.220668,-48.458666,5
2002,6,Amazonas,-8.011,-63.595334,5
2002,6,Maranhao,-4.541666153846154,-47.38725115384615,26
2002,6,Mato Grosso,-11.86317694154877,-55.45163286113179,5372
2002,6,Para,-7.449273020134227,-50.84587496644295,149
2002,6,Rondonia,-10.716503706293706,-62.403661888111884,143
2002,6,Tocantins,-7.2219042857142846,-48.40071,7
2002,7,Acre,-9.386197368421053,-69.23658342105263,76
2002,7,Amapa,0.79211,-51.49189,3
2002,7,Amazonas,-6.005515975308642,-62.446786123456796,405
2002,7,Maranhao,-3.6450016666666665,-46.066100808080805,198
2002,7,Mato Grosso,-11.138792092055184,-56.03338151998096,8408
2002,7,Para,-5.797776210898083,-51.86362192734612,1982
2002,7,Rondonia,-10.643773115577888,-62.76328488442212,995
2002,7,Roraima,3.5295454545454543,-60.85109090909091,11
2002,7,Tocantins,-7.021370740740741,-48.47925851851852,27
2002,8,Acre,-9.33305964333782,-69.36649259084791,1486
2002,8,Amapa,1.2941468,-51.1629068,25
2002,8,Amazonas,-6.493709814990512,-63.174395977229594,2108
2002,8,Maranhao,-3.6613112518853694,-46.038656530920065,663
2002,8,Mato Grosso,-10.646819069452668,-55.591126239742835,23642
2002,8,Para,-7.272871772135209,-51.73722660944998,37926
2002,8,Rondonia,-10.659393399322033,-62.77548819254236,7375
2002,8,Roraima,2.47619,-60.52903190476191,21
2002,8,Tocantins,-7.134860322580645,-48.57130735023041,434
2002,9,Acre,-9.687542495620013,-68.92234111933034,5137
2002,9,Amapa,1.266290710900474,-50.93202383886256,211
2002,9,Amazonas,-6.426118730633324,-63.84683350366948,3679
2002,9,Maranhao,-3.7022546841294295,-46.244928328197226,1298
2002,9,Mato Grosso,-11.716143958948045,-56.02653086123584,23385
2002,9,Para,-5.8943624566971975,-50.45667281445543,22054
2002,9,Rondonia,-11.007743442822935,-62.70207213256224,22133
2002,9,Roraima,3.419290152671756,-60.62842488549618,131
2002,9,Tocantins,-7.36161833557047,-48.640217778523485,1490
2002,10,Acre,-9.814015713020371,-68.63090938883968,1129
2002,10,Amapa,1.5737434787472036,-51.22028263982103,894
2002,10,Amazonas,-4.605382072268176,-61.03530577710057,2297
2002,10,Maranhao,-4.170686669382766,-46.234030474638416,4909
2002,10,Mato Grosso,-12.293827941868408,-56.83962308871519,13177
2002,10,Para,-4.16179573609874,-50.611925342282724,15718
2002,10,Rondonia,-11.027983905544147,-62.77093874195756,7305
2002,10,Roraima,3.458257734627832,-60.544347443365695,309
2002,10,Tocantins,-6.485780033840948,-48.43861082910322,591
2002,11,Acre,-10.041965163398691,-68.49623967320261,153
