state,Amazon_noneAmazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
Amapa,Amazon
