state,date,precipitation,year,month
Roraima,2009-03-31,48.7,2009,3
Roraima,2009-04-30,85.2,2009,4
Roraima,2009-05-31,5.5,2009,5
Roraima,2009-06-30,394.3,2009,6
Roraima,2009-07-31,318.2,2009,7
Roraima,2009-08-31,85.4,2009,8
Roraima,2009-09-30,10.2,2009,9
Roraima,2009-10-31,55.0,2009,10
Roraima,2009-11-30,22.2,2009,11
Roraima,2009-12-31,69.6,2009,12
Roraima,2010-01-31,18.8,2010,1
Roraima,2010-02-28,69.4,2010,2
Roraima,2010-03-31,39.2,2010,3
Roraima,2010-04-30,258.7,2010,4
Roraima,2010-05-31,433.4,2010,5
Roraima,2010-06-30,259.5,2010,6
Roraima,2010-07-31,292.0,2010,7
Roraima,2010-08-31,231.8,2010,8
Roraima,2010-09-30,120.0,2010,9
Roraima,2010-10-31,48.2,2010,10
Roraima,2010-11-30,125.7,2010,11
Roraima,2010-12-31,127.1,2010,12
Roraima,2011-01-31,25.4,2011,1
Roraima,2011-02-28,55.4,2011,2
Roraima,2011-03-31,143.9,2011,3
Roraima,2011-04-30,15.7,2011,4
Roraima,2011-05-31,667.5,2011,5
Roraima,2011-06-30,398.9,2011,6
Roraima,2011-07-31,348.4,2011,7
Roraima,2011-08-31,303.2,2011,8
Roraima,2011-09-30,62.7,2011,9
Roraima,2011-10-31,86.4,2011,10
Roraima,2011-11-30,97.6,2011,11
Roraima,2011-12-31,33.7,2011,12
Roraima,2012-01-31,33.6,2012,1
Roraima,2012-02-29,16.8,2012,2
Roraima,2012-03-31,46.6,2012,3
Roraima,2012-04-30,246.9,2012,4
Roraima,2012-05-31,303.7,2012,5
Roraima,2012-06-30,105.4,2012,6
Roraima,2012-07-31,342.8,2012,7
Roraima,2012-08-31,308.6,2012,8
Roraima,2012-09-30,59.9,2012,9
Roraima,2012-10-31,35.6,2012,10
Roraima,2012-11-30,13.8,2012,11
Roraima,2012-12-31,46.2,2012,12
Roraima,2013-01-31,0.0,2013,1
Roraima,2013-02-28,78.4,2013,2
Roraima,2013-03-31,13.8,2013,3
Roraima,2013-04-30,168.6,2013,4
Roraima,2013-05-31,314.0,2013,5
Roraima,2013-06-30,216.4,2013,6
