year,state,month,number,date,country
2012,Alagoas,6,4,01-01-12,Brazil
2013,Alagoas,6,1,01-01-13,Brazil
2014,Alagoas,6,2,01-01-14,Brazil
2015,Alagoas,6,2,01-01-15,Brazil
2016,Alagoas,6,5,01-01-16,Brazil
2017,Alagoas,6,2,01-01-17,Brazil
1998,Alagoas,7,0,01-01-98,Brazil
1999,Alagoas,7,0,01-01-99,Brazil
2000,Alagoas,7,0,01-01-00,Brazil
2001,Alagoas,7,0,01-01-01,Brazil
2002,Alagoas,7,5,01-01-02,Brazil
2003,Alagoas,7,0,01-01-03,Brazil
2004,Alagoas,7,0,01-01-04,Brazil
2005,Alagoas,7,0,01-01-05,Brazil
2006,Alagoas,7,0,01-01-06,Brazil
2007,Alagoas,7,0,01-01-07,Brazil
2008,Alagoas,7,0,01-01-08,Brazil
2009,Alagoas,7,0,01-01-09,Brazil
2010,Alagoas,7,2,01-01-10,Brazil
2011,Alagoas,7,0,01-01-11,Brazil
2012,Alagoas,7,0,01-01-12,Brazil
2013,Alagoas,7,0,01-01-13,Brazil
2014,Alagoas,7,1,01-01-14,Brazil
2015,Alagoas,7,0,01-01-15,Brazil
2016,Alagoas,7,3,01-01-16,Brazil
2017,Alagoas,7,0,01-01-17,Brazil
1998,Alagoas,8,1,01-01-98,Brazil
1999,Alagoas,8,3,01-01-99,Brazil
2000,Alagoas,8,4,01-01-00,Brazil
2001,Alagoas,8,1,01-01-01,Brazil
2002,Alagoas,8,3,01-01-02,Brazil
2003,Alagoas,8,2,01-01-03,Brazil
2004,Alagoas,8,2,01-01-04,Brazil
2005,Alagoas,8,2,01-01-05,Brazil
2006,Alagoas,8,1,01-01-06,Brazil
2007,Alagoas,8,3,01-01-07,Brazil
2008,Alagoas,8,1,01-01-08,Brazil
2009,Alagoas,8,0,01-01-09,Brazil
2010,Alagoas,8,1,01-01-10,Brazil
2011,Alagoas,8,4,01-01-11,Brazil
2012,Alagoas,8,0,01-01-12,Brazil
2013,Alagoas,8,0,01-01-13,Brazil
2014,Alagoas,8,3,01-01-14,Brazil
2015,Alagoas,8,3,01-01-15,Brazil
2016,Alagoas,8,5,01-01-16,Brazil
2017,Alagoas,8,1,01-01-17,Brazil
1998,Alagoas,9,14,01-01-98,Brazil
1999,Alagoas,9,3,01-01-99,Brazil
2000,Alagoas,9,22,01-01-00,Brazil
2001,Alagoas,9,5,01-01-01,Brazil
2002,Alagoas,9,14,01-01-02,Brazil
2003,Alagoas,9,8,01-01-03,Brazil
2004,Alagoas,9,5,01-01-04,Brazil
2005,Alagoas,9,7,01-01-05,Brazil
2006,Alagoas,9,4,01-01-06,Brazil
2007,Alagoas,9,2,01-01-07,Brazil
2008,Alagoas,9,9,01-01-08,Brazil
2009,Alagoas,9,13,01-01-09,Brazil
2010,Alagoas,9,5,01-01-10,Brazil
2011,Alagoas,9,5,01-01-11,Brazil
2012,Alagoas,9,6,01-01-12,Brazil
2013,Alagoas,9,4,01-01-13,Brazil
2014,Alagoas,9,11,01-01-14,Brazil
2015,Alagoas,9,7,01-01-15,Brazil
2016,Alagoas,9,18,01-01-16,Brazil
2017,Alagoas,9,4,01-01-17,Brazil
1998,Alagoas,10,20,01-01-98,Brazil
1999,Alagoas,10,4,01-01-99,Brazil
2000,Alagoas,10,13,01-01-00,Brazil
2001,Alagoas,10,15,01-01-01,Brazil
2002,Alagoas,10,30,01-01-02,Brazil
2003,Alagoas,10,10,01-01-03,Brazil
2004,Alagoas,10,12,01-01-04,Brazil
2005,Alagoas,10,17,01-01-05,Brazil
2006,Alagoas,10,32,01-01-06,Brazil
2007,Alagoas,10,6,01-01-07,Brazil
2008,Alagoas,10,18,01-01-08,Brazil
2009,Alagoas,10,30,01-01-09,Brazil
2010,Alagoas,10,16,01-01-10,Brazil
2011,Alagoas,10,23,01-01-11,Brazil
2012,Alagoas,10,28,01-01-12,Brazil
2013,Alagoas,10,25,01-01-13,Brazil
2014,Alagoas,10,7,01-01-14,Brazil
2015,Alagoas,10,40,01-01-15,Brazil
2016,Alagoas,10,74,01-01-16,Brazil
2017,Alagoas,10,14,01-01-17,Brazil
1998,Alagoas,11,19,01-01-98,Brazil
1999,Alagoas,11,15,01-01-99,Brazil
2000,Alagoas,11,2,01-01-00,Brazil
2001,Alagoas,11,22,01-01-01,Brazil
2002,Alagoas,11,50,01-01-02,Brazil
2003,Alagoas,11,17,01-01-03,Brazil
2004,Alagoas,11,28,01-01-04,Brazil
2005,Alagoas,11,25,01-01-05,Brazil
2006,Alagoas,11,12,01-01-06,Brazil
2007,Alagoas,11,15,01-01-07,Brazil
2008,Alagoas,11,37,01-01-08,Brazil
2009,Alagoas,11,55,01-01-09,Brazil
2010,Alagoas,11,31,01-01-10,Brazil
2011,Alagoas,11,23,01-01-11,Brazil
2012,Alagoas,11,95,01-01-12,Brazil
2013,Alagoas,11,10,01-01-13,Brazil
2014,Alagoas,11,14,01-01-14,Brazil
2015,Alagoas,11,162,01-01-15,Brazil
2016,Alagoas,11,76,01-01-16,Brazil
2017,Alagoas,11,10,01-01-17,Brazil
1998,Alagoas,12,32,01-01-98,Brazil
1999,Alagoas,12,12,01-01-99,Brazil
2000,Alagoas,12,2,01-01-00,Brazil
2001,Alagoas,12,30,01-01-01,Brazil
2002,Alagoas,12,95,01-01-02,Brazil
2003,Alagoas,12,43,01-01-03,Brazil
2004,Alagoas,12,71,01-01-04,Brazil
2005,Alagoas,12,16,01-01-05,Brazil
2006,Alagoas,12,30,01-01-06,Brazil
2007,Alagoas,12,33,01-01-07,Brazil
2008,Alagoas,12,34,01-01-08,Brazil
2009,Alagoas,12,55,01-01-09,Brazil
2010,Alagoas,12,45,01-01-10,Brazil
2011,Alagoas,12,50,01-01-11,Brazil
2012,Alagoas,12,59,01-01-12,Brazil
2013,Alagoas,12,42,01-01-13,Brazil
2014,Alagoas,12,24,01-01-14,Brazil
2015,Alagoas,12,136,01-01-15,Brazil
2016,Alagoas,12,155,01-01-16,Brazil
1998,Amapa,1,0,01-01-98,Brazil
1999,Amapa,1,0,01-01-99,Brazil
2000,Amapa,1,2,01-01-00,Brazil
2001,Amapa,1,0,01-01-01,Brazil
2002,Amapa,1,7,01-01-02,Brazil
2003,Amapa,1,31,01-01-03,Brazil
2004,Amapa,1,38,01-01-04,Brazil
2005,Amapa,1,109,01-01-05,Brazil
2006,Amapa,1,6,01-01-06,Brazil
2007,Amapa,1,0,01-01-07,Brazil
2008,Amapa,1,2,01-01-08,Brazil
2009,Amapa,1,4,01-01-09,Brazil
2010,Amapa,1,2,01-01-10,Brazil
2011,Amapa,1,0,01-01-11,Brazil
2012,Amapa,1,30,01-01-12,Brazil
2013,Amapa,1,3,01-01-13,Brazil
2014,Amapa,1,10,01-01-14,Brazil
2015,Amapa,1,14,01-01-15,Brazil
2016,Amapa,1,19,01-01-16,Brazil
2017,Amapa,1,2,01-01-17,Brazil
1998,Amapa,2,0,01-01-98,Brazil
1999,Amapa,2,1,01-01-99,Brazil
2000,Amapa,2,0,01-01-00,Brazil
2001,Amapa,2,0,01-01-01,Brazil
2002,Amapa,2,2,01-01-02,Brazil
2003,Amapa,2,0,01-01-03,Brazil
2004,Amapa,2,2,01-01-04,Brazil
2005,Amapa,2,1,01-01-05,Brazil
2006,Amapa,2,2,01-01-06,Brazil
2007,Amapa,2,0,01-01-07,Brazil
2008,Amapa,2,0,01-01-08,Brazil
2009,Amapa,2,0,01-01-09,Brazil
2010,Amapa,2,0,01-01-10,Brazil
2011,Amapa,2,3,01-01-11,Brazil
2012,Amapa,2,5,01-01-12,Brazil
2013,Amapa,2,0,01-01-13,Brazil
2014,Amapa,2,2,01-01-14,Brazil
2015,Amapa,2,1,01-01-15,Brazil
2016,Amapa,2,1,01-01-16,Brazil
2017,Amapa,2,0,01-01-17,Brazil
1998,Amapa,3,0,01-01-98,Brazil
1999,Amapa,3,2,01-01-99,Brazil
2000,Amapa,3,0,01-01-00,Brazil
2001,Amapa,3,0,01-01-01,Brazil
2002,Amapa,3,0,01-01-02,Brazil
2003,Amapa,3,1,01-01-03,Brazil
2004,Amapa,3,0,01-01-04,Brazil
2005,Amapa,3,0,01-01-05,Brazil
2006,Amapa,3,0,01-01-06,Brazil
2007,Amapa,3,0,01-01-07,Brazil
2008,Amapa,3,1,01-01-08,Brazil
2009,Amapa,3,1,01-01-09,Brazil
2010,Amapa,3,2,01-01-10,Brazil
2011,Amapa,3,0,01-01-11,Brazil
2012,Amapa,3,1,01-01-12,Brazil
2013,Amapa,3,0,01-01-13,Brazil
2014,Amapa,3,1,01-01-14,Brazil
2015,Amapa,3,2,01-01-15,Brazil
2016,Amapa,3,5,01-01-16,Brazil
2017,Amapa,3,0,01-01-17,Brazil
1998,Amapa,4,0,01-01-98,Brazil
1999,Amapa,4,0,01-01-99,Brazil
2000,Amapa,4,0,01-01-00,Brazil
2001,Amapa,4,0,01-01-01,Brazil
2002,Amapa,4,0,01-01-02,Brazil
2003,Amapa,4,2,01-01-03,Brazil
2004,Amapa,4,0,01-01-04,Brazil
2005,Amapa,4,0,01-01-05,Brazil
2006,Amapa,4,0,01-01-06,Brazil
2007,Amapa,4,0,01-01-07,Brazil
2008,Amapa,4,2,01-01-08,Brazil
2009,Amapa,4,0,01-01-09,Brazil
2010,Amapa,4,2,01-01-10,Brazil
2011,Amapa,4,0,01-01-11,Brazil
2012,Amapa,4,2,01-01-12,Brazil
2013,Amapa,4,2,01-01-13,Brazil
2014,Amapa,4,0,01-01-14,Brazil
2015,Amapa,4,0,01-01-15,Brazil
2016,Amapa,4,0,01-01-16,Brazil
2017,Amapa,4,3,01-01-17,Brazil
1998,Amapa,5,0,01-01-98,Brazil
1999,Amapa,5,0,01-01-99,Brazil
2000,Amapa,5,0,01-01-00,Brazil
2001,Amapa,5,0,01-01-01,Brazil
2002,Amapa,5,3,01-01-02,Brazil
2003,Amapa,5,0,01-01-03,Brazil
2004,Amapa,5,0,01-01-04,Brazil
2005,Amapa,5,0,01-01-05,Brazil
2006,Amapa,5,0,01-01-06,Brazil
2007,Amapa,5,0,01-01-07,Brazil
2008,Amapa,5,0,01-01-08,Brazil
2009,Amapa,5,2,01-01-09,Brazil
2010,Amapa,5,2,01-01-10,Brazil
2011,Amapa,5,2,01-01-11,Brazil
2012,Amapa,5,2,01-01-12,Brazil
2013,Amapa,5,0,01-01-13,Brazil
2014,Amapa,5,0,01-01-14,Brazil
2015,Amapa,5,0,01-01-15,Brazil
2016,Amapa,5,1,01-01-16,Brazil
2017,Amapa,5,1,01-01-17,Brazil
1998,Amapa,6,0,01-01-98,Brazil
1999,Amapa,6,2,01-01-99,Brazil
2000,Amapa,6,0,01-01-00,Brazil
2001,Amapa,6,0,01-01-01,Brazil
2002,Amapa,6,0,01-01-02,Brazil
2003,Amapa,6,0,01-01-03,Brazil
2004,Amapa,6,5,01-01-04,Brazil
2005,Amapa,6,2,01-01-05,Brazil
2006,Amapa,6,0,01-01-06,Brazil
2007,Amapa,6,0,01-01-07,Brazil
2008,Amapa,6,0,01-01-08,Brazil
2009,Amapa,6,1,01-01-09,Brazil
2010,Amapa,6,0,01-01-10,Brazil
2011,Amapa,6,0,01-01-11,Brazil
2012,Amapa,6,7,01-01-12,Brazil
2013,Amapa,6,1,01-01-13,Brazil
2014,Amapa,6,0,01-01-14,Brazil
2015,Amapa,6,3,01-01-15,Brazil
2016,Amapa,6,2,01-01-16,Brazil
2017,Amapa,6,2,01-01-17,Brazil
1998,Amapa,7,0,01-01-98,Brazil
1999,Amapa,7,0,01-01-99,Brazil
2000,Amapa,7,0,01-01-00,Brazil
2001,Amapa,7,1,01-01-01,Brazil
2002,Amapa,7,1,01-01-02,Brazil
2003,Amapa,7,0,01-01-03,Brazil
2004,Amapa,7,2,01-01-04,Brazil
2005,Amapa,7,0,01-01-05,Brazil
2006,Amapa,7,0,01-01-06,Brazil
