year,state,month,number,date,country
2010,Pará,2,102,01-01-10,Brazil
2011,Pará,2,13,01-01-11,Brazil
2012,Pará,2,63,01-01-12,Brazil
2013,Pará,2,30,01-01-13,Brazil
2014,Pará,2,37,01-01-14,Brazil
2015,Pará,2,108,01-01-15,Brazil
2016,Pará,2,430,01-01-16,Brazil
2017,Pará,2,14,01-01-17,Brazil
1998,Pará,3,0,01-01-98,Brazil
1999,Pará,3,7,01-01-99,Brazil
2000,Pará,3,181,01-01-00,Brazil
2001,Pará,3,0,01-01-01,Brazil
2002,Pará,3,14,01-01-02,Brazil
2003,Pará,3,27,01-01-03,Brazil
2004,Pará,3,22,01-01-04,Brazil
2005,Pará,3,21,01-01-05,Brazil
2006,Pará,3,10,01-01-06,Brazil
2007,Pará,3,6,01-01-07,Brazil
2008,Pará,3,4,01-01-08,Brazil
2009,Pará,3,4,01-01-09,Brazil
2010,Pará,3,110,01-01-10,Brazil
2011,Pará,3,21,01-01-11,Brazil
2012,Pará,3,30,01-01-12,Brazil
2013,Pará,3,19,01-01-13,Brazil
2014,Pará,3,34,01-01-14,Brazil
2015,Pará,3,61,01-01-15,Brazil
2016,Pará,3,81,01-01-16,Brazil
2017,Pará,3,42,01-01-17,Brazil
1998,Pará,4,0,01-01-98,Brazil
1999,Pará,4,6,01-01-99,Brazil
2000,Pará,4,40,01-01-00,Brazil
2001,Pará,4,0,01-01-01,Brazil
2002,Pará,4,11,01-01-02,Brazil
2003,Pará,4,14,01-01-03,Brazil
2004,Pará,4,23,01-01-04,Brazil
2005,Pará,4,14,01-01-05,Brazil
2006,Pará,4,2,01-01-06,Brazil
2007,Pará,4,0,01-01-07,Brazil
2008,Pará,4,7,01-01-08,Brazil
2009,Pará,4,8,01-01-09,Brazil
2010,Pará,4,22,01-01-10,Brazil
2011,Pará,4,10,01-01-11,Brazil
2012,Pará,4,11,01-01-12,Brazil
2013,Pará,4,20,01-01-13,Brazil
2014,Pará,4,27,01-01-14,Brazil
2015,Pará,4,27,01-01-15,Brazil
2016,Pará,4,66,01-01-16,Brazil
2017,Pará,4,45,01-01-17,Brazil
1998,Pará,5,0,01-01-98,Brazil
1999,Pará,5,4,01-01-99,Brazil
2000,Pará,5,12,01-01-00,Brazil
2001,Pará,5,7,01-01-01,Brazil
2002,Pará,5,18,01-01-02,Brazil
2003,Pará,5,3,01-01-03,Brazil
2004,Pará,5,44,01-01-04,Brazil
2005,Pará,5,37,01-01-05,Brazil
2006,Pará,5,0,01-01-06,Brazil
2007,Pará,5,9,01-01-07,Brazil
2008,Pará,5,0,01-01-08,Brazil
2009,Pará,5,7,01-01-09,Brazil
2010,Pará,5,57,01-01-10,Brazil
2011,Pará,5,16,01-01-11,Brazil
2012,Pará,5,59,01-01-12,Brazil
2013,Pará,5,42,01-01-13,Brazil
2014,Pará,5,70,01-01-14,Brazil
2015,Pará,5,95,01-01-15,Brazil
2016,Pará,5,154,01-01-16,Brazil
2017,Pará,5,114,01-01-17,Brazil
1998,Pará,6,58,01-01-98,Brazil
1999,Pará,6,37,01-01-99,Brazil
2000,Pará,6,59,01-01-00,Brazil
2001,Pará,6,42,01-01-01,Brazil
2002,Pará,6,149,01-01-02,Brazil
2003,Pará,6,64,01-01-03,Brazil
2004,Pará,6,340,01-01-04,Brazil
2005,Pará,6,304,01-01-05,Brazil
2006,Pará,6,78,01-01-06,Brazil
2007,Pará,6,129,01-01-07,Brazil
2008,Pará,6,48,01-01-08,Brazil
2009,Pará,6,38,01-01-09,Brazil
2010,Pará,6,94,01-01-10,Brazil
2011,Pará,6,105,01-01-11,Brazil
2012,Pará,6,183,01-01-12,Brazil
2013,Pará,6,173,01-01-13,Brazil
2014,Pará,6,319,01-01-14,Brazil
2015,Pará,6,265,01-01-15,Brazil
2016,Pará,6,502,01-01-16,Brazil
2017,Pará,6,679,01-01-17,Brazil
1998,Pará,7,638,01-01-98,Brazil
1999,Pará,7,982,01-01-99,Brazil
2000,Pará,7,426,01-01-00,Brazil
2001,Pará,7,708,01-01-01,Brazil
2002,Pará,7,772,01-01-02,Brazil
2003,Pará,7,1,01-01-03,Brazil
2004,Pará,7,4,01-01-04,Brazil
2005,Pará,7,4,01-01-05,Brazil
2006,Pará,7,615,01-01-06,Brazil
2007,Pará,7,476,01-01-07,Brazil
2008,Pará,7,971,01-01-08,Brazil
2009,Pará,7,397,01-01-09,Brazil
2010,Pará,7,1,01-01-10,Brazil
2011,Pará,7,632,01-01-11,Brazil
2012,Pará,7,661,01-01-12,Brazil
2013,Pará,7,447,01-01-13,Brazil
2014,Pará,7,825,01-01-14,Brazil
2015,Pará,7,906,01-01-15,Brazil
2016,Pará,7,1,01-01-16,Brazil
2017,Pará,7,4,01-01-17,Brazil
1998,Pará,8,6,01-01-98,Brazil
1999,Pará,8,6,01-01-99,Brazil
2000,Pará,8,5,01-01-00,Brazil
2001,Pará,8,9,01-01-01,Brazil
2002,Pará,8,15,01-01-02,Brazil
2003,Pará,8,6,01-01-03,Brazil
2004,Pará,8,12,01-01-04,Brazil
2005,Pará,8,13,01-01-05,Brazil
2006,Pará,8,7,01-01-06,Brazil
2007,Pará,8,14,01-01-07,Brazil
2008,Pará,8,4,01-01-08,Brazil
2009,Pará,8,3,01-01-09,Brazil
2010,Pará,8,18,01-01-10,Brazil
2011,Pará,8,2,01-01-11,Brazil
2012,Pará,8,6,01-01-12,Brazil
2013,Pará,8,2,01-01-13,Brazil
2014,Pará,8,8,01-01-14,Brazil
2015,Pará,8,7,01-01-15,Brazil
2016,Pará,8,4,01-01-16,Brazil
2017,Pará,8,11,01-01-17,Brazil
1998,Pará,9,6,01-01-98,Brazil
1999,Pará,9,4,01-01-99,Brazil
2000,Pará,9,2,01-01-00,Brazil
2001,Pará,9,6,01-01-01,Brazil
2002,Pará,9,5,01-01-02,Brazil
2003,Pará,9,8,01-01-03,Brazil
2004,Pará,9,9,01-01-04,Brazil
2005,Pará,9,9,01-01-05,Brazil
2006,Pará,9,8,01-01-06,Brazil
2007,Pará,9,14,01-01-07,Brazil
2008,Pará,9,6,01-01-08,Brazil
2009,Pará,9,6,01-01-09,Brazil
2010,Pará,9,10,01-01-10,Brazil
2011,Pará,9,5,01-01-11,Brazil
2012,Pará,9,6,01-01-12,Brazil
2013,Pará,9,3,01-01-13,Brazil
2014,Pará,9,6,01-01-14,Brazil
2015,Pará,9,11,01-01-15,Brazil
2016,Pará,9,3,01-01-16,Brazil
2017,Pará,9,25,01-01-17,Brazil
1998,Pará,10,3,01-01-98,Brazil
1999,Pará,10,5,01-01-99,Brazil
2000,Pará,10,4,01-01-00,Brazil
2001,Pará,10,5,01-01-01,Brazil
2002,Pará,10,5,01-01-02,Brazil
2003,Pará,10,3,01-01-03,Brazil
2004,Pará,10,4,01-01-04,Brazil
2005,Pará,10,5,01-01-05,Brazil
2006,Pará,10,5,01-01-06,Brazil
2007,Pará,10,2,01-01-07,Brazil
2008,Pará,10,6,01-01-08,Brazil
2009,Pará,10,6,01-01-09,Brazil
2010,Pará,10,3,01-01-10,Brazil
2011,Pará,10,3,01-01-11,Brazil
2012,Pará,10,3,01-01-12,Brazil
2013,Pará,10,4,01-01-13,Brazil
2014,Pará,10,6,01-01-14,Brazil
2015,Pará,10,7,01-01-15,Brazil
2016,Pará,10,5,01-01-16,Brazil
2017,Pará,10,7,01-01-17,Brazil
1998,Pará,11,1,01-01-98,Brazil
1999,Pará,11,2,01-01-99,Brazil
2000,Pará,11,3,01-01-00,Brazil
2001,Pará,11,4,01-01-01,Brazil
2002,Pará,11,7,01-01-02,Brazil
2003,Pará,11,6,01-01-03,Brazil
2004,Pará,11,9,01-01-04,Brazil
2005,Pará,11,4,01-01-05,Brazil
2006,Pará,11,2,01-01-06,Brazil
2007,Pará,11,2,01-01-07,Brazil
2008,Pará,11,2,01-01-08,Brazil
2009,Pará,11,10,01-01-09,Brazil
2010,Pará,11,4,01-01-10,Brazil
2011,Pará,11,3,01-01-11,Brazil
2012,Pará,11,6,01-01-12,Brazil
2013,Pará,11,3,01-01-13,Brazil
2014,Pará,11,7,01-01-14,Brazil
2015,Pará,11,9,01-01-15,Brazil
2016,Pará,11,7,01-01-16,Brazil
2017,Pará,11,9,01-01-17,Brazil
1998,Pará,12,1,01-01-98,Brazil
1999,Pará,12,766,01-01-99,Brazil
2000,Pará,12,1,01-01-00,Brazil
2001,Pará,12,2,01-01-01,Brazil
2002,Pará,12,3,01-01-02,Brazil
2003,Pará,12,4,01-01-03,Brazil
2004,Pará,12,5,01-01-04,Brazil
2005,Pará,12,1,01-01-05,Brazil
2006,Pará,12,1,01-01-06,Brazil
2007,Pará,12,689,01-01-07,Brazil
2008,Pará,12,684,01-01-08,Brazil
2009,Pará,12,2,01-01-09,Brazil
2010,Pará,12,1,01-01-10,Brazil
2011,Pará,12,3,01-01-11,Brazil
2012,Pará,12,1,01-01-12,Brazil
2013,Pará,12,5,01-01-13,Brazil
2014,Pará,12,4,01-01-14,Brazil
2015,Pará,12,6,01-01-15,Brazil
2016,Pará,12,3,01-01-16,Brazil
1998,Paraiba,1,0,01-01-98,Brazil
1999,Paraiba,1,26,01-01-99,Brazil
2000,Paraiba,1,0,01-01-00,Brazil
2001,Paraiba,1,11,01-01-01,Brazil
2002,Paraiba,1,5,01-01-02,Brazil
2003,Paraiba,1,70,01-01-03,Brazil
2004,Paraiba,1,33,01-01-04,Brazil
2005,Paraiba,1,178,01-01-05,Brazil
2006,Paraiba,1,83,01-01-06,Brazil
2007,Paraiba,1,69,01-01-07,Brazil
2008,Paraiba,1,77,01-01-08,Brazil
2009,Paraiba,1,115,01-01-09,Brazil
2010,Paraiba,1,46,01-01-10,Brazil
2011,Paraiba,1,11,01-01-11,Brazil
2012,Paraiba,1,61,01-01-12,Brazil
2013,Paraiba,1,38,01-01-13,Brazil
2014,Paraiba,1,75,01-01-14,Brazil
2015,Paraiba,1,42,01-01-15,Brazil
2016,Paraiba,1,18,01-01-16,Brazil
2017,Paraiba,1,23,01-01-17,Brazil
1998,Paraiba,2,0,01-01-98,Brazil
1999,Paraiba,2,2,01-01-99,Brazil
2000,Paraiba,2,11,01-01-00,Brazil
2001,Paraiba,2,6,01-01-01,Brazil
2002,Paraiba,2,18,01-01-02,Brazil
2003,Paraiba,2,3,01-01-03,Brazil
2004,Paraiba,2,3,01-01-04,Brazil
2005,Paraiba,2,15,01-01-05,Brazil
2006,Paraiba,2,7,01-01-06,Brazil
2007,Paraiba,2,7,01-01-07,Brazil
2008,Paraiba,2,20,01-01-08,Brazil
2009,Paraiba,2,9,01-01-09,Brazil
2010,Paraiba,2,15,01-01-10,Brazil
2011,Paraiba,2,5,01-01-11,Brazil
2012,Paraiba,2,15,01-01-12,Brazil
2013,Paraiba,2,9,01-01-13,Brazil
2014,Paraiba,2,6,01-01-14,Brazil
2015,Paraiba,2,15,01-01-15,Brazil
2016,Paraiba,2,4,01-01-16,Brazil
2017,Paraiba,2,8,01-01-17,Brazil
1998,Paraiba,3,0,01-01-98,Brazil
1999,Paraiba,3,1,01-01-99,Brazil
2000,Paraiba,3,5,01-01-00,Brazil
2001,Paraiba,3,0,01-01-01,Brazil
2002,Paraiba,3,3,01-01-02,Brazil
2003,Paraiba,3,0,01-01-03,Brazil
2004,Paraiba,3,3,01-01-04,Brazil
2005,Paraiba,3,13,01-01-05,Brazil
2006,Paraiba,3,4,01-01-06,Brazil
2007,Paraiba,3,1,01-01-07,Brazil
2008,Paraiba,3,8,01-01-08,Brazil
2009,Paraiba,3,2,01-01-09,Brazil
2010,Paraiba,3,16,01-01-10,Brazil
2011,Paraiba,3,6,01-01-11,Brazil
2012,Paraiba,3,4,01-01-12,Brazil
2013,Paraiba,3,3,01-01-13,Brazil
2014,Paraiba,3,18,01-01-14,Brazil
2015,Paraiba,3,7,01-01-15,Brazil
2016,Paraiba,3,1,01-01-16,Brazil
2017,Paraiba,3,2,01-01-17,Brazil
1998,Paraiba,4,0,01-01-98,Brazil
1999,Paraiba,4,3,01-01-99,Brazil
2000,Paraiba,4,1,01-01-00,Brazil
2001,Paraiba,4,0,01-01-01,Brazil
2002,Paraiba,4,1,01-01-02,Brazil
2003,Paraiba,4,0,01-01-03,Brazil
2004,Paraiba,4,3,01-01-04,Brazil
2005,Paraiba,4,2,01-01-05,Brazil
2006,Paraiba,4,0,01-01-06,Brazil
2007,Paraiba,4,0,01-01-07,Brazil
2008,Paraiba,4,0,01-01-08,Brazil
2009,Paraiba,4,1,01-01-09,Brazil
2010,Paraiba,4,2,01-01-10,Brazil
2011,Paraiba,4,2,01-01-11,Brazil
2012,Paraiba,4,13,01-01-12,Brazil
2013,Paraiba,4,6,01-01-13,Brazil
2014,Paraiba,4,8,01-01-14,Brazil
2015,Paraiba,4,11,01-01-15,Brazil
2016,Paraiba,4,1,01-01-16,Brazil
2017,Paraiba,4,1,01-01-17,Brazil
1998,Paraiba,5,0,01-01-98,Brazil
1999,Paraiba,5,0,01-01-99,Brazil
2000,Paraiba,5,0,01-01-00,Brazil
2001,Paraiba,5,4,01-01-01,Brazil
2002,Paraiba,5,1,01-01-02,Brazil
2003,Paraiba,5,0,01-01-03,Brazil
2004,Paraiba,5,1,01-01-04,Brazil
2005,Paraiba,5,0,01-01-05,Brazil
2006,Paraiba,5,0,01-01-06,Brazil
2007,Paraiba,5,0,01-01-07,Brazil
2008,Paraiba,5,0,01-01-08,Brazil
2009,Paraiba,5,0,01-01-09,Brazil
2010,Paraiba,5,10,01-01-10,Brazil
2011,Paraiba,5,0,01-01-11,Brazil
2012,Paraiba,5,10,01-01-12,Brazil
2013,Paraiba,5,3,01-01-13,Brazil
2014,Paraiba,5,1,01-01-14,Brazil
2015,Paraiba,5,6,01-01-15,Brazil
2016,Paraiba,5,1,01-01-16,Brazil
2017,Paraiba,5,1,01-01-17,Brazil
1998,Paraiba,6,3,01-01-98,Brazil
1999,Paraiba,6,1,01-01-99,Brazil
2000,Paraiba,6,2,01-01-00,Brazil
2001,Paraiba,6,0,01-01-01,Brazil
2002,Paraiba,6,1,01-01-02,Brazil
2003,Paraiba,6,0,01-01-03,Brazil
2004,Paraiba,6,0,01-01-04,Brazil
2005,Paraiba,6,0,01-01-05,Brazil
2006,Paraiba,6,0,01-01-06,Brazil
2007,Paraiba,6,0,01-01-07,Brazil
2008,Paraiba,6,0,01-01-08,Brazil
2009,Paraiba,6,0,01-01-09,Brazil
2010,Paraiba,6,3,01-01-10,Brazil
2011,Paraiba,6,2,01-01-11,Brazil
2012,Paraiba,6,5,01-01-12,Brazil
2013,Paraiba,6,3,01-01-13,Brazil
2014,Paraiba,6,1,01-01-14,Brazil
2015,Paraiba,6,0,01-01-15,Brazil
2016,Paraiba,6,4,01-01-16,Brazil
2017,Paraiba,6,0,01-01-17,Brazil
1998,Paraiba,7,0,01-01-98,Brazil
1999,Paraiba,7,1,01-01-99,Brazil
2000,Paraiba,7,0,01-01-00,Brazil
2001,Paraiba,7,8,01-01-01,Brazil
2002,Paraiba,7,8,01-01-02,Brazil
2003,Paraiba,7,6,01-01-03,Brazil
2004,Paraiba,7,1,01-01-04,Brazil
2005,Paraiba,7,0,01-01-05,Brazil
2006,Paraiba,7,1,01-01-06,Brazil
2007,Paraiba,7,1,01-01-07,Brazil
2008,Paraiba,7,0,01-01-08,Brazil
2009,Paraiba,7,3,01-01-09,Brazil
2010,Paraiba,7,7,01-01-10,Brazil
2011,Paraiba,7,6,01-01-11,Brazil
2012,Paraiba,7,5,01-01-12,Brazil
2013,Paraiba,7,1,01-01-13,Brazil
2014,Paraiba,7,9,01-01-14,Brazil
2015,Paraiba,7,3,01-01-15,Brazil
2016,Paraiba,7,22,01-01-16,Brazil
2017,Paraiba,7,2,01-01-17,Brazil
1998,Paraiba,8,3,01-01-98,Brazil
1999,Paraiba,8,4,01-01-99,Brazil
2000,Paraiba,8,7,01-01-00,Brazil
2001,Paraiba,8,34,01-01-01,Brazil
2002,Paraiba,8,38,01-01-02,Brazil
2003,Paraiba,8,14,01-01-03,Brazil
2004,Paraiba,8,18,01-01-04,Brazil
2005,Paraiba,8,0,01-01-05,Brazil
2006,Paraiba,8,3,01-01-06,Brazil
2007,Paraiba,8,8,01-01-07,Brazil
2008,Paraiba,8,1,01-01-08,Brazil
2009,Paraiba,8,4,01-01-09,Brazil
2010,Paraiba,8,9,01-01-10,Brazil
2011,Paraiba,8,12,01-01-11,Brazil
2012,Paraiba,8,13,01-01-12,Brazil
2013,Paraiba,8,3,01-01-13,Brazil
2014,Paraiba,8,30,01-01-14,Brazil
2015,Paraiba,8,5,01-01-15,Brazil
2016,Paraiba,8,50,01-01-16,Brazil
2017,Paraiba,8,3,01-01-17,Brazil
1998,Paraiba,9,50,01-01-98,Brazil
1999,Paraiba,9,14,01-01-99,Brazil
2000,Paraiba,9,9,01-01-00,Brazil
2001,Paraiba,9,98,01-01-01,Brazil
2002,Paraiba,9,63,01-01-02,Brazil
2003,Paraiba,9,81,01-01-03,Brazil
2004,Paraiba,9,34,01-01-04,Brazil
2005,Paraiba,9,13,01-01-05,Brazil
2006,Paraiba,9,27,01-01-06,Brazil
2007,Paraiba,9,22,01-01-07,Brazil
2008,Paraiba,9,21,01-01-08,Brazil
2009,Paraiba,9,28,01-01-09,Brazil
2010,Paraiba,9,37,01-01-10,Brazil
2011,Paraiba,9,55,01-01-11,Brazil
2012,Paraiba,9,71,01-01-12,Brazil
2013,Paraiba,9,25,01-01-13,Brazil
2014,Paraiba,9,51,01-01-14,Brazil
2015,Paraiba,9,48,01-01-15,Brazil
2016,Paraiba,9,131,01-01-16,Brazil
2017,Paraiba,9,30,01-01-17,Brazil
1998,Paraiba,10,179,01-01-98,Brazil
1999,Paraiba,10,48,01-01-99,Brazil
2000,Paraiba,10,125,01-01-00,Brazil
2001,Paraiba,10,279,01-01-01,Brazil
2002,Paraiba,10,193,01-01-02,Brazil
2003,Paraiba,10,381,01-01-03,Brazil
2004,Paraiba,10,190,01-01-04,Brazil
2005,Paraiba,10,155,01-01-05,Brazil
2006,Paraiba,10,135,01-01-06,Brazil
2007,Paraiba,10,111,01-01-07,Brazil
2008,Paraiba,10,80,01-01-08,Brazil
2009,Paraiba,10,117,01-01-09,Brazil
2010,Paraiba,10,150,01-01-10,Brazil
2011,Paraiba,10,200,01-01-11,Brazil
2012,Paraiba,10,136,01-01-12,Brazil
2013,Paraiba,10,58,01-01-13,Brazil
2014,Paraiba,10,70,01-01-14,Brazil
2015,Paraiba,10,121,01-01-15,Brazil
2016,Paraiba,10,304,01-01-16,Brazil
2017,Paraiba,10,123,01-01-17,Brazil
1998,Paraiba,11,46,01-01-98,Brazil
1999,Paraiba,11,38,01-01-99,Brazil
2000,Paraiba,11,65,01-01-00,Brazil
2001,Paraiba,11,294,01-01-01,Brazil
2002,Paraiba,11,238,01-01-02,Brazil
2003,Paraiba,11,538,01-01-03,Brazil
2004,Paraiba,11,331,01-01-04,Brazil
2005,Paraiba,11,280,01-01-05,Brazil
2006,Paraiba,11,215,01-01-06,Brazil
2007,Paraiba,11,256,01-01-07,Brazil
2008,Paraiba,11,175,01-01-08,Brazil
2009,Paraiba,11,428,01-01-09,Brazil
2010,Paraiba,11,451,01-01-10,Brazil
2011,Paraiba,11,359,01-01-11,Brazil
2012,Paraiba,11,130,01-01-12,Brazil
2013,Paraiba,11,95,01-01-13,Brazil
2014,Paraiba,11,111,01-01-14,Brazil
2015,Paraiba,11,206,01-01-15,Brazil
2016,Paraiba,11,132,01-01-16,Brazil
2017,Paraiba,11,101,01-01-17,Brazil
1998,Paraiba,12,51,01-01-98,Brazil
1999,Paraiba,12,40,01-01-99,Brazil
2000,Paraiba,12,34,01-01-00,Brazil
2001,Paraiba,12,70,01-01-01,Brazil
2002,Paraiba,12,163,01-01-02,Brazil
2003,Paraiba,12,288,01-01-03,Brazil
2004,Paraiba,12,351,01-01-04,Brazil
2005,Paraiba,12,159,01-01-05,Brazil
2006,Paraiba,12,196,01-01-06,Brazil
2007,Paraiba,12,133,01-01-07,Brazil
2008,Paraiba,12,187,01-01-08,Brazil
2009,Paraiba,12,270,01-01-09,Brazil
2010,Paraiba,12,65,01-01-10,Brazil
2011,Paraiba,12,179,01-01-11,Brazil
2012,Paraiba,12,62,01-01-12,Brazil
2013,Paraiba,12,78,01-01-13,Brazil
2014,Paraiba,12,62,01-01-14,Brazil
2015,Paraiba,12,122,01-01-15,Brazil
2016,Paraiba,12,8,01-01-16,Brazil
1998,Paraná,1,0,01-01-98,Brazil
1999,Paraná,1,7,01-01-99,Brazil
2000,Paraná,1,49,01-01-00,Brazil
2001,Paraná,1,32,01-01-01,Brazil
2002,Paraná,1,47,01-01-02,Brazil
2003,Paraná,1,109,01-01-03,Brazil
2004,Paraná,1,88,01-01-04,Brazil
2005,Paraná,1,55,01-01-05,Brazil
2006,Paraná,1,78,01-01-06,Brazil
2007,Paraná,1,11,01-01-07,Brazil
2008,Paraná,1,35,01-01-08,Brazil
2009,Paraná,1,35,01-01-09,Brazil
2010,Paraná,1,18,01-01-10,Brazil
2011,Paraná,1,35,01-01-11,Brazil
2012,Paraná,1,31,01-01-12,Brazil
2013,Paraná,1,28,01-01-13,Brazil
2014,Paraná,1,86,01-01-14,Brazil
2015,Paraná,1,120,01-01-15,Brazil
2016,Paraná,1,113,01-01-16,Brazil
2017,Paraná,1,55,01-01-17,Brazil
1998,Paraná,2,0,01-01-98,Brazil
1999,Paraná,2,22,01-01-99,Brazil
2000,Paraná,2,67,01-01-00,Brazil
2001,Paraná,2,8,01-01-01,Brazil
2002,Paraná,2,24,01-01-02,Brazil
2003,Paraná,2,46,01-01-03,Brazil
2004,Paraná,2,42,01-01-04,Brazil
2005,Paraná,2,77,01-01-05,Brazil
2006,Paraná,2,60,01-01-06,Brazil
2007,Paraná,2,32,01-01-07,Brazil
2008,Paraná,2,38,01-01-08,Brazil
2009,Paraná,2,21,01-01-09,Brazil
2010,Paraná,2,46,01-01-10,Brazil
2011,Paraná,2,8,01-01-11,Brazil
2012,Paraná,2,40,01-01-12,Brazil
2013,Paraná,2,9,01-01-13,Brazil
2014,Paraná,2,52,01-01-14,Brazil
2015,Paraná,2,58,01-01-15,Brazil
2016,Paraná,2,31,01-01-16,Brazil
2017,Paraná,2,60,01-01-17,Brazil
1998,Paraná,3,0,01-01-98,Brazil
1999,Paraná,3,40,01-01-99,Brazil
2000,Paraná,3,52,01-01-00,Brazil
2001,Paraná,3,12,01-01-01,Brazil
2002,Paraná,3,18,01-01-02,Brazil
2003,Paraná,3,76,01-01-03,Brazil
2004,Paraná,3,83,01-01-04,Brazil
2005,Paraná,3,84,01-01-05,Brazil
2006,Paraná,3,56,01-01-06,Brazil
2007,Paraná,3,54,01-01-07,Brazil
2008,Paraná,3,43,01-01-08,Brazil
2009,Paraná,3,57,01-01-09,Brazil
2010,Paraná,3,22,01-01-10,Brazil
2011,Paraná,3,21,01-01-11,Brazil
2012,Paraná,3,55,01-01-12,Brazil
2013,Paraná,3,18,01-01-13,Brazil
2014,Paraná,3,42,01-01-14,Brazil
2015,Paraná,3,55,01-01-15,Brazil
2016,Paraná,3,63,01-01-16,Brazil
2017,Paraná,3,43,01-01-17,Brazil
1998,Paraná,4,0,01-01-98,Brazil
1999,Paraná,4,39,01-01-99,Brazil
2000,Paraná,4,51,01-01-00,Brazil
2001,Paraná,4,43,01-01-01,Brazil
2002,Paraná,4,84,01-01-02,Brazil
2003,Paraná,4,130,01-01-03,Brazil
2004,Paraná,4,68,01-01-04,Brazil
2005,Paraná,4,22,01-01-05,Brazil
2006,Paraná,4,49,01-01-06,Brazil
2007,Paraná,4,14,01-01-07,Brazil
2008,Paraná,4,62,01-01-08,Brazil
2009,Paraná,4,80,01-01-09,Brazil
2010,Paraná,4,71,01-01-10,Brazil
2011,Paraná,4,38,01-01-11,Brazil
2012,Paraná,4,38,01-01-12,Brazil
2013,Paraná,4,72,01-01-13,Brazil
2014,Paraná,4,38,01-01-14,Brazil
2015,Paraná,4,83,01-01-15,Brazil
2016,Paraná,4,167,01-01-16,Brazil
2017,Paraná,4,77,01-01-17,Brazil
1998,Paraná,5,0,01-01-98,Brazil
1999,Paraná,5,57,01-01-99,Brazil
2000,Paraná,5,43,01-01-00,Brazil
2001,Paraná,5,26,01-01-01,Brazil
2002,Paraná,5,65,01-01-02,Brazil
2003,Paraná,5,115,01-01-03,Brazil
2004,Paraná,5,9,01-01-04,Brazil
2005,Paraná,5,125,01-01-05,Brazil
2006,Paraná,5,90,01-01-06,Brazil
2007,Paraná,5,14,01-01-07,Brazil
2008,Paraná,5,41,01-01-08,Brazil
2009,Paraná,5,117,01-01-09,Brazil
2010,Paraná,5,39,01-01-10,Brazil
2011,Paraná,5,97,01-01-11,Brazil
2012,Paraná,5,86,01-01-12,Brazil
2013,Paraná,5,85,01-01-13,Brazil
2014,Paraná,5,109,01-01-14,Brazil
2015,Paraná,5,77,01-01-15,Brazil
2016,Paraná,5,72,01-01-16,Brazil
2017,Paraná,5,49,01-01-17,Brazil
1998,Paraná,6,36,01-01-98,Brazil
1999,Paraná,6,31,01-01-99,Brazil
2000,Paraná,6,53,01-01-00,Brazil
2001,Paraná,6,43,01-01-01,Brazil
2002,Paraná,6,115,01-01-02,Brazil
2003,Paraná,6,159,01-01-03,Brazil
2004,Paraná,6,147,01-01-04,Brazil
2005,Paraná,6,114,01-01-05,Brazil
2006,Paraná,6,62,01-01-06,Brazil
2007,Paraná,6,57,01-01-07,Brazil
2008,Paraná,6,17,01-01-08,Brazil
2009,Paraná,6,105,01-01-09,Brazil
2010,Paraná,6,55,01-01-10,Brazil
2011,Paraná,6,162,01-01-11,Brazil
2012,Paraná,6,77,01-01-12,Brazil
2013,Paraná,6,52,01-01-13,Brazil
2014,Paraná,6,112,01-01-14,Brazil
2015,Paraná,6,201,01-01-15,Brazil
2016,Paraná,6,238,01-01-16,Brazil
2017,Paraná,6,169,01-01-17,Brazil
1998,Paraná,7,59,01-01-98,Brazil
1999,Paraná,7,94,01-01-99,Brazil
2000,Paraná,7,98,01-01-00,Brazil
2001,Paraná,7,122,01-01-01,Brazil
2002,Paraná,7,172,01-01-02,Brazil
2003,Paraná,7,101,01-01-03,Brazil
2004,Paraná,7,148,01-01-04,Brazil
2005,Paraná,7,155,01-01-05,Brazil
2006,Paraná,7,139,01-01-06,Brazil
2007,Paraná,7,60,01-01-07,Brazil
2008,Paraná,7,87,01-01-08,Brazil
2009,Paraná,7,34,01-01-09,Brazil
2010,Paraná,7,196,01-01-10,Brazil
2011,Paraná,7,262,01-01-11,Brazil
2012,Paraná,7,111,01-01-12,Brazil
2013,Paraná,7,168,01-01-13,Brazil
2014,Paraná,7,215,01-01-14,Brazil
2015,Paraná,7,137,01-01-15,Brazil
2016,Paraná,7,504,01-01-16,Brazil
2017,Paraná,7,891,01-01-17,Brazil
1998,Paraná,8,42,01-01-98,Brazil
1999,Paraná,8,938,01-01-99,Brazil
2000,Paraná,8,849,01-01-00,Brazil
2001,Paraná,8,342,01-01-01,Brazil
2002,Paraná,8,1,01-01-02,Brazil
2003,Paraná,8,1,01-01-03,Brazil
2004,Paraná,8,1,01-01-04,Brazil
2005,Paraná,8,800,01-01-05,Brazil
2006,Paraná,8,844,01-01-06,Brazil
2007,Paraná,8,580,01-01-07,Brazil
2008,Paraná,8,205,01-01-08,Brazil
2009,Paraná,8,844,01-01-09,Brazil
2010,Paraná,8,733,01-01-10,Brazil
2011,Paraná,8,435,01-01-11,Brazil
2012,Paraná,8,522,01-01-12,Brazil
2013,Paraná,8,481,01-01-13,Brazil
2014,Paraná,8,646,01-01-14,Brazil
2015,Paraná,8,651,01-01-15,Brazil
2016,Paraná,8,1,01-01-16,Brazil
2017,Paraná,8,987,01-01-17,Brazil
